dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
东汉,东汉,元嘉,桓帝,刘志,151,153,东汉元嘉,http://data.library.sh.cn/authority/temporal/63pzgdjtk5y3eemx
东汉,东汉,永兴,桓帝,刘志,153,154,东汉永兴,http://data.library.sh.cn/authority/temporal/g6y5zkfcffwdgfjc
东汉,东汉,永寿,桓帝,刘志,155,158,东汉永寿,http://data.library.sh.cn/authority/temporal/jzkg1ti4cduxg77c
东汉,东汉,延熹,桓帝,刘志,158,167,东汉延熹,http://data.library.sh.cn/authority/temporal/ucxqw22r9rlqdrvg
东汉,东汉,永康,桓帝,刘志,167,167,东汉永康,http://data.library.sh.cn/authority/temporal/xitn3m4455ch7old
东汉,东汉,建宁,灵帝,刘宏,168,172,东汉建宁,http://data.library.sh.cn/authority/temporal/31evc3dckxhz5stl
东汉,东汉,熹平,灵帝,刘宏,172,178,东汉熹平,http://data.library.sh.cn/authority/temporal/8nsnanuuce1y39ev
东汉,东汉,光和,灵帝,刘宏,178,184,东汉光和,http://data.library.sh.cn/authority/temporal/4f9sf324pgytb1na
东汉,东汉,中平,灵帝,刘宏,184,189,东汉中平,http://data.library.sh.cn/authority/temporal/pjkmnj8bsey3fdmh
东汉,东汉,昭宁,少帝,刘辩,189,189,东汉昭宁,http://data.library.sh.cn/authority/temporal/jswab2u8hs58x3cj
东汉,东汉,光熹,少帝,刘辩,189,189,东汉光熹,http://data.library.sh.cn/authority/temporal/potpou9tyvscsxci
东汉,东汉,中平,献帝,刘协,190,190,东汉中平,http://data.library.sh.cn/authority/temporal/m3ddhrxgnvggjh4s
东汉,东汉,永汉,献帝,刘协,190,190,东汉永汉,http://data.library.sh.cn/authority/temporal/iinjqup2n2t1cbj5
东汉,东汉,初平,献帝,刘协,190,193,东汉初平,http://data.library.sh.cn/authority/temporal/2nbwjubbybl8i737
东汉,东汉,兴平,献帝,刘协,194,195,东汉兴平,http://data.library.sh.cn/authority/temporal/7uva5d64p8ygi6t5
东汉,东汉,建安,献帝,刘协,196,220,东汉建安,http://data.library.sh.cn/authority/temporal/lzc4y2b5ax7xsnxt
三国,三国,,,,220,280,三国,http://data.library.sh.cn/authority/temporal/itrusbdhm298q5ma
魏,魏,黄初,文帝,曹丕,220,226,魏黄初,http://data.library.sh.cn/authority/temporal/3hpz3j7lhoa9lo2s
东汉,东汉,延康,献帝,刘协,220,220,东汉延康,http://data.library.sh.cn/authority/temporal/elk4kx9r4hh9jbjs
蜀,蜀,章武,昭烈帝,刘备,221,223,蜀章武,http://data.library.sh.cn/authority/temporal/llyuoid3txxtpfwp
吴,吴,黄武,大帝,孙权,221,229,吴黄武,http://data.library.sh.cn/authority/temporal/g2l9j7kfmwgxz4mg
蜀,蜀,建兴,后主,刘禅,223,237,蜀建兴,http://data.library.sh.cn/authority/temporal/wuktvssycocu8fjn
魏,魏,太和,明帝,曹叡,227,233,魏太和,http://data.library.sh.cn/authority/temporal/ajmjadmihg756fng
吴,吴,黄龙,大帝,孙权,229,231,吴黄龙,http://data.library.sh.cn/authority/temporal/allcmev5fbjhyiy2
吴,吴,嘉禾,大帝,孙权,232,238,吴嘉禾,http://data.library.sh.cn/authority/temporal/j4y4bnynkpsmod36
魏,魏,青龙,明帝,曹叡,233,237,魏青龙,http://data.library.sh.cn/authority/temporal/17v5iwxkghruesi4
